V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
0.440069124,0.346889401,0.413663594,0.210391705,0.409147465,0.735576037,0.394354839,0.656129032,0.468940092,0.372995392,0.702764977,0.650023041,0.442695853,0.59735023,0.488709677,0.494170507,0.438732719,0.377626728,0.383248848,0.587119816,0.510691244,0.382119816,0.435069124,0.559815668,0.363041475,0.445092166,0.436267281,0.555460829,0.475576037,0.493364055,0.527235023,0.350714286,0.418801843,0.686036866,0.726428571,0.784539171,0.684884793,0.427741935,0.429470046,0.293617512,0.247327189,0.704884793,0.243271889,0.402557604,0.544170507,0.360368664,0.249769585,0.334101382,0.225898618,RR
0.447671756,0.324141221,0.426641221,0.229293893,0.428206107,0.757366412,0.402041985,0.653282443,0.461374046,0.383473282,0.681812977,0.654312977,0.453187023,0.609007634,0.508912214,0.499694656,0.411641221,0.358110687,0.394465649,0.56740458,0.51398855,0.377977099,0.450267176,0.575667939,0.331793893,0.480324427,0.444522901,0.588931298,0.480362595,0.500648855,0.538530534,0.351564885,0.430667939,0.671335878,0.711717557,0.76490458,0.670171756,0.439198473,0.428301527,0.303740458,0.249866412,0.709064885,0.235820611,0.393072519,0.554351145,0.363167939,0.279770992,0.352671756,0.224484733,RR
0.444168126,0.325989492,0.42469352,0.231698774,0.42882662,0.760753065,0.403677758,0.655761821,0.463029772,0.383765324,0.680875657,0.654063047,0.451873905,0.607828371,0.512924694,0.497110333,0.408861646,0.35642732,0.3958669,0.566952715,0.512119089,0.378406305,0.448248687,0.579211909,0.33295972,0.480542907,0.446357268,0.59033275,0.477460595,0.497338004,0.540945709,0.353957968,0.43145359,0.670647986,0.710980736,0.764711033,0.668844133,0.441015762,0.430718039,0.304570928,0.252294221,0.70591944,0.236357268,0.394798599,0.552224168,0.364798599,0.27915937,0.354465849,0.220753065,RR
0.449377432,0.327354086,0.429941634,0.229435798,0.430758755,0.756498054,0.401536965,0.656420233,0.463638132,0.384513619,0.681964981,0.6557393,0.455486381,0.611828794,0.511031128,0.500758755,0.407178988,0.3557393,0.395136187,0.563287938,0.517081712,0.381206226,0.453365759,0.579105058,0.329688716,0.481595331,0.445680934,0.59,0.483229572,0.503560311,0.539202335,0.350505837,0.432140078,0.674319066,0.713968872,0.766653696,0.671206226,0.441420233,0.432782101,0.30077821,0.248988327,0.708054475,0.235233463,0.392840467,0.554435798,0.362840467,0.278988327,0.352140078,0.222120623,RR
0.425558087,0.343211845,0.402779043,0.237517084,0.404783599,0.73738041,0.41191344,0.660683371,0.450797267,0.385284738,0.687312073,0.62952164,0.429954442,0.572938497,0.508268793,0.482984055,0.434624146,0.368018223,0.396400911,0.600592255,0.484510251,0.370751708,0.421116173,0.559339408,0.386059226,0.451617312,0.446355353,0.57095672,0.456400911,0.474077449,0.546082005,0.371594533,0.424373576,0.660797267,0.701890661,0.759931663,0.667266515,0.42881549,0.412414579,0.313895216,0.255876993,0.708041002,0.237630979,0.398268793,0.548246014,0.3738041,0.2738041,0.358542141,0.221685649,RR
0.392369264,0.380480256,0.428132337,0.221782284,0.409562433,0.705592316,0.44022412,0.701248666,0.50905016,0.398036286,0.701632871,0.607844184,0.459498399,0.580010672,0.492305229,0.519733191,0.416926361,0.359434365,0.426563501,0.550939168,0.509903949,0.407481323,0.438164354,0.562209178,0.348004269,0.447118463,0.487043757,0.566670224,0.480160085,0.489573106,0.580106724,0.364898613,0.466296692,0.664503735,0.706083244,0.7647492,0.645336179,0.480352188,0.478335112,0.321643543,0.288431163,0.662273212,0.264044824,0.41905016,0.529423693,0.405336179,0.288153682,0.376947705,0.216926361,RR
0.437928571,0.305619048,0.391452381,0.21852381,0.420642857,0.763642857,0.41,0.627238095,0.435785714,0.383642857,0.661857143,0.638785714,0.427333333,0.577761905,0.47297619,0.478428571,0.475428571,0.401357143,0.391214286,0.616309524,0.480619048,0.334142857,0.41852381,0.544571429,0.328785714,0.467190476,0.439214286,0.574642857,0.456642857,0.486452381,0.536619048,0.367642857,0.41697619,0.617785714,0.670190476,0.735880952,0.635571429,0.434166667,0.390690476,0.352142857,0.275333333,0.708785714,0.235880952,0.394904762,0.552095238,0.37047619,0.278571429,0.362380952,0.244785714,RR
0.439196217,0.350449173,0.414397163,0.213049645,0.410827423,0.734940898,0.396453901,0.65964539,0.470780142,0.375508274,0.701962175,0.648439716,0.443120567,0.596524823,0.490685579,0.494397163,0.435886525,0.375839243,0.385531915,0.585508274,0.510496454,0.382907801,0.436099291,0.561962175,0.363617021,0.446122931,0.439219858,0.55713948,0.47536643,0.493286052,0.530165485,0.352222222,0.420921986,0.686004728,0.726122931,0.784397163,0.683617021,0.430449173,0.432647754,0.293806147,0.248510638,0.70321513,0.243735225,0.40286052,0.543900709,0.362647754,0.251536643,0.3356974,0.223262411,RR
0.449840637,0.329282869,0.431135458,0.228824701,0.431015936,0.755199203,0.401792829,0.657948207,0.464860558,0.384920319,0.682808765,0.655876494,0.456354582,0.612589641,0.509103586,0.502111554,0.408266932,0.356533865,0.395557769,0.562270916,0.518286853,0.381673307,0.454860558,0.578167331,0.327948207,0.481195219,0.446553785,0.589442231,0.484900398,0.505079681,0.54001992,0.34998008,0.433446215,0.675816733,0.715219124,0.767968127,0.671633466,0.442709163,0.435039841,0.299243028,0.248386454,0.707709163,0.234780876,0.39247012,0.554760956,0.362948207,0.277689243,0.352191235,0.223087649,RR
0.439174528,0.350801887,0.415448113,0.21254717,0.410801887,0.735424528,0.39629717,0.660448113,0.471367925,0.375400943,0.702476415,0.648537736,0.443985849,0.597264151,0.490754717,0.495589623,0.434929245,0.37504717,0.385613208,0.584622642,0.51125,0.384150943,0.437240566,0.562382075,0.363066038,0.44634434,0.439292453,0.556603774,0.476485849,0.493962264,0.530141509,0.351650943,0.42129717,0.686674528,0.726698113,0.784834906,0.683938679,0.430754717,0.433419811,0.293183962,0.248325472,0.702995283,0.24370283,0.402900943,0.543820755,0.3625,0.251415094,0.335377358,0.222783019,RR
